CSD Code 2021,CSD Name 2021,Census Population 2021,Income 2021,Education 2021,Housing 2021,Labour Force Activity 2021,CWB 2021,Community Type 2021
1001101,"Division No.  1, Subd. V",55,,,,,,Non-Indigenous Community
1001105,Portugal Cove South,86,,,,,73,Non-Indigenous Community
1001113,Trepassey,405,76,48,97,70,73,Non-Indigenous Community
1001120,St. Shott's,55,,,,,,Non-Indigenous Community
1001124,"Division No.  1, Subd. U",1373,81,63,98,77,80,Non-Indigenous Community
1001126,Cape Broyle,499,78,57,97,74,77,Non-Indigenous Community
1001131,Renews-Cappahayden,280,79,59,94,72,76,Non-Indigenous Community
1001136,Fermeuse,266,,,,,76,Non-Indigenous Community
1001140,Port Kirwan,49,,,,,,Non-Indigenous Community
1001144,Aquaforte,74,,,,,,Non-Indigenous Community
1001149,Ferryland,371,83,56,96,68,76,Non-Indigenous Community
1001155,"Division No.  1, Subd. W",469,78,58,99,69,76,Non-Indigenous Community
1001169,St. Vincent's-St. Stephen's-Peter's River,263,,,,,71,Non-Indigenous Community
1001174,Gaskiers-Point La Haye,189,,,,,71,Non-Indigenous Community
1001178,St. Mary's,313,73,56,98,70,74,Non-Indigenous Community
1001181,Riverhead,165,,,,,73,Non-Indigenous Community
1001186,Admirals Beach,97,,,,,73,Non-Indigenous Community
1001192,St. Joseph's,86,,,,,72,Non-Indigenous Community
1001197,Mount Carmel-Mitchells Brook-St. Catherine's,382,81,61,95,84,80,Non-Indigenous Community
1001203,"Division No.  1, Subd. X",541,82,54,98,75,77,Non-Indigenous Community
1001207,Colinet,103,,,,,78,Non-Indigenous Community
1001214,"Division No.  1, Subd. C",106,,,,,76,Non-Indigenous Community
1001219,Branch,177,,,,,78,Non-Indigenous Community
1001225,Point Lance,87,,,,,78,Non-Indigenous Community
1001228,St. Bride's,318,78,50,97,70,74,Non-Indigenous Community
1001234,"Division No.  1, Subd. B",356,79,60,90,79,77,Non-Indigenous Community
1001240,Placentia,3289,76,59,97,79,78,Non-Indigenous Community
1001254,Fox Harbour,226,,,,,72,Non-Indigenous Community
1001259,"Division No.  1, Subd. A",653,77,53,98,75,76,Non-Indigenous Community
1001263,Long Harbour-Mount Arlington Heights,185,,,,,77,Non-Indigenous Community
1001267,Southern Harbour,313,81,45,93,72,73,Non-Indigenous Community
1001270,Arnold's Cove,964,78,51,98,83,77,Non-Indigenous Community
1001274,Come By Chance,208,,,,,73,Non-Indigenous Community
1001277,Sunnyside,407,73,55,100,74,75,Non-Indigenous Community
1001281,Chance Cove,213,,,,,70,Non-Indigenous Community
1001285,Norman's Cove-Long Cove,647,74,54,91,80,74,Non-Indigenous Community
1001289,Chapel Arm,446,78,59,95,77,77,Non-Indigenous Community
1001293,"Division No.  1, Subd. Y",1211,78,59,97,78,78,Non-Indigenous Community
1001298,Whitbourne,955,76,55,93,79,76,Non-Indigenous Community
1001304,"Division No.  1, Subd. E",2835,73,53,97,75,74,Non-Indigenous Community
1001308,Whiteway,351,79,59,100,94,83,Non-Indigenous Community
1001312,Heart's Delight-Islington,646,71,53,98,75,74,Non-Indigenous Community
1001316,Heart's Desire,184,,,,,66,Non-Indigenous Community
1001321,"Division No.  1, Subd. F",539,73,57,100,76,76,Non-Indigenous Community
1001325,Heart's Content,330,72,52,95,72,73,Non-Indigenous Community
1001328,New Perlican,200,,,,,71,Non-Indigenous Community
1001332,Winterton,436,74,48,98,70,72,Non-Indigenous Community
1001335,Hant's Harbour,318,72,45,95,68,70,Non-Indigenous Community
1001339,"Division No.  1, Subd. G",1673,73,54,96,75,74,Non-Indigenous Community
1001343,Old Perlican,608,76,59,95,88,79,Non-Indigenous Community
1001347,Bay de Verde,347,74,44,100,81,75,Non-Indigenous Community
1001352,Small Point-Adam's Cove-Blackhead-Broad Cove,414,75,57,94,78,76,Non-Indigenous Community
1001357,"Division No.  1, Subd. H",328,74,54,98,78,76,Non-Indigenous Community
1001361,Salmon Cove,764,72,52,98,73,74,Non-Indigenous Community
1001365,Victoria,1658,72,54,97,77,75,Non-Indigenous Community
1001370,Carbonear,4696,74,59,97,76,76,Non-Indigenous Community
1001374,"Division No.  1, Subd. I",320,84,72,99,82,84,Non-Indigenous Community
1001375,Bryant's Cove,343,71,46,100,73,73,Non-Indigenous Community
1001379,Harbour Grace,2796,74,57,97,75,76,Non-Indigenous Community
1001385,Upper Island Cove,1401,73,56,96,71,74,Non-Indigenous Community
1001391,"Division No. 1, Subd. J",0,,,,,,Non-Indigenous Community
1001394,Bishop's Cove,252,,,,,79,Non-Indigenous Community
1001396,Spaniard's Bay,2630,72,56,97,74,75,Non-Indigenous Community
1001405,"Division No.  1, Subd. K",35,,,,,,Non-Indigenous Community
1001409,Bay Roberts,5974,76,60,97,81,78,Non-Indigenous Community
1001415,"Division No.  1, Subd. L",874,74,54,99,76,76,Non-Indigenous Community
1001421,"Division No.  1, Subd. M",1145,79,56,95,74,76,Non-Indigenous Community
1001426,North River,579,79,61,98,80,79,Non-Indigenous Community
